year,month,rate_30yr,reporting_period
1971,4,7.31,41971
1971,5,7.425,51971
1971,6,7.529999999999999,61971
1971,7,7.604000000000001,71971
1971,8,7.6975,81971
1971,9,7.6875,91971
1971,10,7.628,101971
1971,11,7.55,111971
1971,12,7.4799999999999995,121971
1972,1,7.4375,11972
1972,2,7.324999999999999,21972
1972,3,7.298,31972
1972,4,7.29,41972
1972,5,7.3725000000000005,51972
1972,6,7.372,61972
1972,7,7.3950000000000005,71972
1972,8,7.4,81972
1972,9,7.42,91972
1972,10,7.42,101972
1972,11,7.4275,111972
1972,12,7.442,121972
1973,1,7.4375,11973
1973,2,7.4399999999999995,21973
1973,3,7.458,31973
1973,4,7.5424999999999995,41973
1973,5,7.6525,51973
1973,6,7.734,61973
1973,7,8.05,71973
1973,8,8.496,81973
1973,9,8.815,91973
1973,10,8.77,101973
1973,11,8.581999999999999,111973
1973,12,8.5375,121973
1974,1,8.54,11974
1974,2,8.455,21974
1974,3,8.406,31974
1974,4,8.5825,41974
1974,5,8.972,51974
1974,6,9.085,61974
1974,7,9.28,71974
1974,8,9.586,81974
1974,9,9.9575,91974
1974,10,9.9775,101974
1974,11,9.788,111974
1974,12,9.615,121974
1975,1,9.431999999999999,11975
1975,2,9.105,21975
1975,3,8.9025,31975
1975,4,8.82,41975
1975,5,8.906,51975
1975,6,8.8925,61975
1975,7,8.89,71975
1975,8,8.942,81975
1975,9,9.13,91975
1975,10,9.224,101975
1975,11,9.145,111975
1975,12,9.0975,121975
1976,1,9.016,11976
1976,2,8.8125,21976
1976,3,8.754999999999999,31976
1976,4,8.73,41976
1976,5,8.765,51976
1976,6,8.8475,61976
1976,7,8.934000000000001,71976
1976,8,9.0,81976
1976,9,8.977500000000001,91976
1976,10,8.93,101976
1976,11,8.8125,111976
1976,12,8.792,121976
1977,1,8.7225,11977
1977,2,8.67,21977
1977,3,8.6875,31977
1977,4,8.751999999999999,41977
1977,5,8.8275,51977
1977,6,8.8575,61977
1977,7,8.941999999999998,71977
1977,8,8.94,81977
1977,9,8.896,91977
1977,10,8.9225,101977
1977,11,8.9225,111977
1977,12,8.959999999999999,121977
1978,1,9.015,11978
1978,2,9.145,21978
1978,3,9.202000000000002,31978
1978,4,9.355,41978
1978,5,9.5725,51978
1978,6,9.708,61978
1978,7,9.74,71978
1978,8,9.785,81978
1978,9,9.756,91978
1978,10,9.8575,101978
1978,11,10.1075,111978
1978,12,10.346,121978
1979,1,10.39,11979
1979,2,10.4075,21979
1979,3,10.425999999999998,31979
1979,4,10.4975,41979
1979,5,10.69,51979
1979,6,11.036,61979
1979,7,11.092500000000001,71979
1979,8,11.094,81979
1979,9,11.3,91979
1979,10,11.6375,101979
1979,11,12.830000000000002,111979
1979,12,12.9,121979
1980,1,12.8775,11980
1980,2,13.038,21980
1980,3,15.28125,31980
1980,4,16.325000000000003,41980
1980,5,14.26,51980
1980,6,12.70875,61980
1980,7,12.1875,71980
1980,8,12.559999999999999,81980
1980,9,13.19375,91980
1980,10,13.790000000000001,101980
1980,11,14.2,111980
1980,12,14.7875,121980
1981,1,14.904,11981
1981,2,15.1325,21981
1981,3,15.4,31981
1981,4,15.58,41981
1981,5,16.402,51981
1981,6,16.695,61981
1981,7,16.832,71981
1981,8,17.285,81981
1981,9,18.16,91981
1981,10,18.454,101981
1981,11,17.825,111981
1981,12,16.945999999999998,121981
1982,1,17.485,11982
1982,2,17.5975,21982
1982,3,17.16,31982
1982,4,16.892,41982
1982,5,16.677500000000002,51982
1982,6,16.697499999999998,61982
1982,7,16.816,71982
1982,8,16.27,81982
1982,9,15.43,91982
1982,10,14.608,101982
1982,11,13.825,111982
1982,12,13.624,121982
1983,1,13.2475,11983
1983,2,13.0425,21983
1983,3,12.8,31983
1983,4,12.782,41983
1983,5,12.6325,51983
1983,6,12.870000000000001,61983
1983,7,13.422,71983
1983,8,13.81,81983
1983,9,13.725999999999999,91983
1983,10,13.535,101983
1983,11,13.435,111983
1983,12,13.419999999999998,121983
1984,1,13.3675,11984
1984,2,13.2325,21984
1984,3,13.386000000000001,31984
1984,4,13.6525,41984
1984,5,13.942499999999999,51984
1984,6,14.416,61984
1984,7,14.6675,71984
1984,8,14.469999999999999,81984
1984,9,14.35,91984
1984,10,14.129999999999999,101984
1984,11,13.638,111984
1984,12,13.18,121984
1985,1,13.075,11985
1985,2,12.92,21985
1985,3,13.169999999999998,31985
1985,4,13.195,41985
1985,5,12.913999999999998,51985
1985,6,12.215,61985
1985,7,12.032499999999999,71985
1985,8,12.186,81985
1985,9,12.1925,91985
1985,10,12.135,101985
1985,11,11.784,111985
1985,12,11.26,121985
1986,1,10.886,11986
1986,2,10.71,21986
1986,3,10.08,31986
1986,4,9.9375,41986
1986,5,10.144,51986
1986,6,10.6825,61986
1986,7,10.5075,71986
1986,8,10.2,81986
1986,9,10.0075,91986
1986,10,9.974,101986
1986,11,9.695,111986
1986,12,9.31,121986
1987,1,9.203999999999999,11987
1987,2,9.0825,21987
1987,3,9.035,31987
1987,4,9.8325,41987
1987,5,10.596,51987
1987,6,10.5375,61987
1987,7,10.278,71987
1987,8,10.33,81987
1987,9,10.8875,91987
1987,10,11.26,101987
1987,11,10.65,111987
1987,12,10.64,121987
1988,1,10.3825,11988
1988,2,9.8925,21988
1988,3,9.93,31988
1988,4,10.202,41988
1988,5,10.455,51988
1988,6,10.46,61988
1988,7,10.432,71988
1988,8,10.5975,81988
