refi_incentive,current_ltv,grid_idx,h_monthly_pct,cpr_annualized
-2.0,30,0,0.41073322,4.8189936
-2.0,35,1,0.36715895,4.318011
-2.0,40,2,0.32589814,3.8414598
-2.0,45,3,0.28805715,3.4024477
-2.0,50,4,0.24080698,2.8517365
-2.0,55,5,0.19884622,2.3602426
-2.0,60,6,0.15480283,1.8419266
-2.0,65,7,0.13699529,1.6316116
-2.0,70,8,0.10291992,1.2280643
-2.0,75,9,0.09245953,1.103878
-2.0,80,10,0.09876846,1.1788309
-2.0,85,11,0.15964244,1.89901
-2.0,90,12,0.31594682,3.7261605
-2.0,95,13,0.5371103,6.258279
-2.0,100,14,0.84595907,9.692228
-2.0,105,15,1.127558,12.722343
-2.0,110,16,1.4567333,16.146046
-2.0,115,17,1.7638588,19.228966
-2.0,120,18,2.0184178,21.705097
-2.0,125,19,2.1580348,23.03344
-2.0,130,20,2.2642517,24.030119
-1.75,30,21,0.3642448,4.2844176
-1.75,35,22,0.32137048,3.7890077
-1.75,40,23,0.28423852,3.3580184
-1.75,45,24,0.25163612,2.9782236
-1.75,50,25,0.21235561,2.5186896
-1.75,55,26,0.17728734,2.1068335
-1.75,60,27,0.147927,1.760751
-1.75,65,28,0.13606183,1.620549
-1.75,70,29,0.097336285,1.161778
-1.75,75,30,0.08782621,1.048851
-1.75,80,31,0.09573524,1.1428118
-1.75,85,32,0.17344524,2.0615816
-1.75,90,33,0.34941468,4.1133223
-1.75,95,34,0.58446664,6.792462
-1.75,100,35,0.91993904,10.497486
-1.75,105,36,1.212082,13.613499
-1.75,110,37,1.5643017,17.237877
-1.75,115,38,1.8817531,20.384562
-1.75,120,39,2.1323454,22.790592
-1.75,125,40,2.2711146,24.094141
-1.75,130,41,2.3622565,24.939268
-1.5,30,42,0.33875543,3.9901972
-1.5,35,43,0.29630965,3.4983695
-1.5,40,44,0.25665334,3.0367136
-1.5,45,45,0.2202454,2.6111603
-1.5,50,46,0.18623522,2.2120655
-1.5,55,47,0.16221327,1.9292951
-1.5,60,48,0.14299327,1.7024696
-1.5,65,49,0.13363321,1.5918672
-1.5,70,50,0.096208006,1.1484027
-1.5,75,51,0.0861027,1.0283768
-1.5,80,52,0.095828354,1.1438787
-1.5,85,53,0.18770635,2.2293746
-1.5,90,54,0.38484237,4.521614
-1.5,95,55,0.6397868,7.4129343
-1.5,100,56,0.99878556,11.348438
-1.5,105,57,1.3149333,14.686584
-1.5,110,58,1.6911924,18.509096
-1.5,115,59,2.0329456,21.844328
-1.5,120,60,2.2577376,23.969381
-1.5,125,61,2.3853137,25.151682
-1.5,130,62,2.4648612,25.880354
-1.25,30,63,0.31999314,3.7730575
-1.25,35,64,0.28053603,3.314966
-1.25,40,65,0.24828435,2.9390454
-1.25,45,66,0.2137243,2.534759
-1.25,50,67,0.1798025,2.1364331
-1.25,55,68,0.15841073,1.8844604
-1.25,60,69,0.14518614,1.7283738
-1.25,65,70,0.13576445,1.6170263
-1.25,70,71,0.09147156,1.092124
-1.25,75,72,0.083401434,0.9962082
-1.25,80,73,0.0972096,1.1602938
-1.25,85,74,0.19971061,2.3703873
-1.25,90,75,0.4188699,4.912263
-1.25,95,76,0.7269209,8.3826065
-1.25,100,77,1.1028856,12.460655
-1.25,105,78,1.4363942,15.938145
-1.25,110,79,1.852606,20.100296
-1.25,115,80,2.205222,23.477709
-1.25,120,81,2.3841949,25.141424
