date,coupon,note_rate,pmms,refi_incentive,forecast_cpr
2018-01-01,2.5,3.25,4.0325,-0.7825,0.006095
2018-01-01,3.0,3.75,4.0325,-0.2825,0.005978
2018-01-01,3.5,4.25,4.0325,0.2175,0.007422
2018-01-01,4.0,4.75,4.0325,0.7175,0.009768
2018-01-01,4.5,5.25,4.0325,1.2175,0.013293
2018-01-01,5.0,5.75,4.0325,1.7175,0.018529
2018-01-01,5.5,6.25,4.0325,2.2175,0.024809
2018-01-01,6.0,6.75,4.0325,2.7175,0.029507
2018-01-01,6.5,7.25,4.0325,3.2175,0.033376
2018-02-01,2.5,3.25,4.33,-1.08,0.006173
2018-02-01,3.0,3.75,4.33,-0.58,0.005898
2018-02-01,3.5,4.25,4.33,-0.08,0.006388
2018-02-01,4.0,4.75,4.33,0.42,0.008307
2018-02-01,4.5,5.25,4.33,0.92,0.010948
2018-02-01,5.0,5.75,4.33,1.42,0.015249
2018-02-01,5.5,6.25,4.33,1.92,0.02108
2018-02-01,6.0,6.75,4.33,2.42,0.02692
2018-02-01,6.5,7.25,4.33,2.92,0.031121
2018-03-01,2.5,3.25,4.444,-1.194,0.006131
2018-03-01,3.0,3.75,4.444,-0.694,0.005992
2018-03-01,3.5,4.25,4.444,-0.194,0.006116
2018-03-01,4.0,4.75,4.444,0.306,0.007794
2018-03-01,4.5,5.25,4.444,0.806,0.01025
2018-03-01,5.0,5.75,4.444,1.306,0.014122
2018-03-01,5.5,6.25,4.444,1.806,0.019619
2018-03-01,6.0,6.75,4.444,2.306,0.025788
2018-03-01,6.5,7.25,4.444,2.806,0.030221
2018-04-01,2.5,3.25,4.4675,-1.2175,0.006118
2018-04-01,3.0,3.75,4.4675,-0.7175,0.006017
2018-04-01,3.5,4.25,4.4675,-0.2175,0.006073
2018-04-01,4.0,4.75,4.4675,0.2825,0.007694
2018-04-01,4.5,5.25,4.4675,0.7825,0.01012
2018-04-01,5.0,5.75,4.4675,1.2825,0.013899
2018-04-01,5.5,6.25,4.4675,1.7825,0.019326
2018-04-01,6.0,6.75,4.4675,2.2825,0.025539
2018-04-01,6.5,7.25,4.4675,2.7825,0.030031
2018-05-01,2.5,3.25,4.586,-1.336,0.006052
2018-05-01,3.0,3.75,4.586,-0.836,0.006159
2018-05-01,3.5,4.25,4.586,-0.336,0.005918
2018-05-01,4.0,4.75,4.586,0.164,0.007212
2018-05-01,4.5,5.25,4.586,0.664,0.009488
2018-05-01,5.0,5.75,4.586,1.164,0.012811
2018-05-01,5.5,6.25,4.586,1.664,0.017898
2018-05-01,6.0,6.75,4.586,2.164,0.024191
2018-05-01,6.5,7.25,4.586,2.664,0.029075
2018-06-01,2.5,3.25,4.57,-1.32,0.006061
2018-06-01,3.0,3.75,4.57,-0.82,0.006143
2018-06-01,3.5,4.25,4.57,-0.32,0.005934
2018-06-01,4.0,4.75,4.57,0.18,0.007276
2018-06-01,4.5,5.25,4.57,0.68,0.00957
2018-06-01,5.0,5.75,4.57,1.18,0.012953
2018-06-01,5.5,6.25,4.57,1.68,0.018085
2018-06-01,6.0,6.75,4.57,2.18,0.024376
2018-06-01,6.5,7.25,4.57,2.68,0.029204
2018-07-01,2.5,3.25,4.5275,-1.2775,0.006083
2018-07-01,3.0,3.75,4.5275,-0.7775,0.006088
2018-07-01,3.5,4.25,4.5275,-0.2775,0.005985
2018-07-01,4.0,4.75,4.5275,0.2225,0.007442
2018-07-01,4.5,5.25,4.5275,0.7225,0.009794
2018-07-01,5.0,5.75,4.5275,1.2225,0.013339
2018-07-01,5.5,6.25,4.5275,1.7225,0.01859
2018-07-01,6.0,6.75,4.5275,2.2225,0.024866
2018-07-01,6.5,7.25,4.5275,2.7225,0.029546
2018-08-01,2.5,3.25,4.55,-1.3,0.006071
2018-08-01,3.0,3.75,4.55,-0.8,0.006118
2018-08-01,3.5,4.25,4.55,-0.3,0.005956
2018-08-01,4.0,4.75,4.55,0.2,0.007355
2018-08-01,4.5,5.25,4.55,0.7,0.009676
2018-08-01,5.0,5.75,4.55,1.2,0.013134
2018-08-01,5.5,6.25,4.55,1.7,0.018318
2018-08-01,6.0,6.75,4.55,2.2,0.024608
2018-08-01,6.5,7.25,4.55,2.7,0.029366
2018-09-01,2.5,3.25,4.6275,-1.3775,0.006026
2018-09-01,3.0,3.75,4.6275,-0.8775,0.006186
2018-09-01,3.5,4.25,4.6275,-0.3775,0.005885
2018-09-01,4.0,4.75,4.6275,0.1225,0.007049
2018-09-01,4.5,5.25,4.6275,0.6225,0.009276
2018-09-01,5.0,5.75,4.6275,1.1225,0.012455
2018-09-01,5.5,6.25,4.6275,1.6225,0.017421
2018-09-01,6.0,6.75,4.6275,2.1225,0.023694
2018-09-01,6.5,7.25,4.6275,2.6225,0.028735
2018-10-01,2.5,3.25,4.83,-1.58,0.005835
2018-10-01,3.0,3.75,4.83,-1.08,0.006173
2018-10-01,3.5,4.25,4.83,-0.58,0.005898
2018-10-01,4.0,4.75,4.83,-0.08,0.006388
2018-10-01,4.5,5.25,4.83,0.42,0.008307
2018-10-01,5.0,5.75,4.83,0.92,0.010948
2018-10-01,5.5,6.25,4.83,1.42,0.015249
2018-10-01,6.0,6.75,4.83,1.92,0.02108
2018-10-01,6.5,7.25,4.83,2.42,0.02692
2018-11-01,2.5,3.25,4.866,-1.616,0.005791
2018-11-01,3.0,3.75,4.866,-1.116,0.006164
2018-11-01,3.5,4.25,4.866,-0.616,0.005924
2018-11-01,4.0,4.75,4.866,-0.116,0.006293
2018-11-01,4.5,5.25,4.866,0.384,0.008147
2018-11-01,5.0,5.75,4.866,0.884,0.010717
2018-11-01,5.5,6.25,4.866,1.384,0.014881
2018-11-01,6.0,6.75,4.866,1.884,0.020613
2018-11-01,6.5,7.25,4.866,2.384,0.026574
2018-12-01,2.5,3.25,4.6375,-1.3875,0.006017
2018-12-01,3.0,3.75,4.6375,-0.8875,0.006188
2018-12-01,3.5,4.25,4.6375,-0.3875,0.005878
2018-12-01,4.0,4.75,4.6375,0.1125,0.00701
2018-12-01,4.5,5.25,4.6375,0.6125,0.009224
