date,coupon,note_rate,pmms,refi_incentive,forecast_cpr,realized_cpr
2018-01-01,2.5,3.25,4.0325,-0.7825,0.012058,0.0
2018-01-01,3.0,3.75,4.0325,-0.2825,0.014672,0.0
2018-01-01,3.5,4.25,4.0325,0.2175,0.02047,0.0
2018-01-01,4.0,4.75,4.0325,0.7175,0.027131,0.0
2018-01-01,4.5,5.25,4.0325,1.2175,0.033827,0.0
2018-01-01,5.0,5.75,4.0325,1.7175,0.039595,0.0
2018-01-01,5.5,6.25,4.0325,2.2175,0.044816,0.0
2018-02-01,2.5,3.25,4.33,-1.08,0.011265,0.01036932
2018-02-01,3.0,3.75,4.33,-0.58,0.01285,0.00657876
2018-02-01,3.5,4.25,4.33,-0.08,0.016681,0.00747273
2018-02-01,4.0,4.75,4.33,0.42,0.023198,0.00890617
2018-02-01,4.5,5.25,4.33,0.92,0.029876,0.01036657
2018-02-01,5.0,5.75,4.33,1.42,0.036249,0.02626243
2018-02-01,5.5,6.25,4.33,1.92,0.041791,0.06178243
2018-03-01,2.5,3.25,4.444,-1.194,0.011009,0.01779873
2018-03-01,3.0,3.75,4.444,-0.694,0.012349,0.01208538
2018-03-01,3.5,4.25,4.444,-0.194,0.015467,0.01407485
2018-03-01,4.0,4.75,4.444,0.306,0.021663,0.01402598
2018-03-01,4.5,5.25,4.444,0.806,0.028333,0.01787662
2018-03-01,5.0,5.75,4.444,1.306,0.034909,0.05557723
2018-03-01,5.5,6.25,4.444,1.806,0.040573,0.04396496
2018-04-01,2.5,3.25,4.4675,-1.2175,0.010958,0.02025787
2018-04-01,3.0,3.75,4.4675,-0.7175,0.012267,0.01853294
2018-04-01,3.5,4.25,4.4675,-0.2175,0.015247,0.01824572
2018-04-01,4.0,4.75,4.4675,0.2825,0.021348,0.01532187
2018-04-01,4.5,5.25,4.4675,0.7825,0.028011,0.02225161
2018-04-01,5.0,5.75,4.4675,1.2825,0.034629,0.04045647
2018-04-01,5.5,6.25,4.4675,1.7825,0.040312,0.03898135
2018-04-01,6.0,6.75,4.4675,2.2825,0.045432,0.0
2018-05-01,2.5,3.25,4.586,-1.336,0.01073,0.02919499
2018-05-01,3.0,3.75,4.586,-0.836,0.0119,0.02735421
2018-05-01,3.5,4.25,4.586,-0.336,0.014267,0.02775053
2018-05-01,4.0,4.75,4.586,0.164,0.019761,0.02167884
2018-05-01,4.5,5.25,4.586,0.664,0.026423,0.02776466
2018-05-01,5.0,5.75,4.586,1.164,0.033134,0.03581442
2018-05-01,5.5,6.25,4.586,1.664,0.039003,0.06672068
2018-05-01,6.0,6.75,4.586,2.164,0.044298,0.0
2018-05-01,6.5,7.25,4.586,2.664,0.048901,0.0
2018-06-01,2.5,3.25,4.57,-1.32,0.010759,0.02595121
2018-06-01,3.0,3.75,4.57,-0.82,0.011947,0.03293064
2018-06-01,3.5,4.25,4.57,-0.32,0.014378,0.02991946
2018-06-01,4.0,4.75,4.57,0.18,0.01997,0.02666164
2018-06-01,4.5,5.25,4.57,0.68,0.026634,0.02905321
2018-06-01,5.0,5.75,4.57,1.18,0.033341,0.04834809
2018-06-01,5.5,6.25,4.57,1.68,0.039179,0.03649528
2018-06-01,6.0,6.75,4.57,2.18,0.044455,0.0643204
2018-06-01,6.5,7.25,4.57,2.68,0.049043,0.99975586
2018-07-01,2.5,3.25,4.5275,-1.2775,0.010837,0.03703593
2018-07-01,3.0,3.75,4.5275,-0.7775,0.012072,0.03091937
2018-07-01,3.5,4.25,4.5275,-0.2775,0.014715,0.03634145
2018-07-01,4.0,4.75,4.5275,0.2225,0.020536,0.02990689
2018-07-01,4.5,5.25,4.5275,0.7225,0.027198,0.03329504
2018-07-01,5.0,5.75,4.5275,1.2225,0.03389,0.04074763
2018-07-01,5.5,6.25,4.5275,1.7225,0.039651,0.03983373
2018-07-01,6.0,6.75,4.5275,2.2225,0.044863,0.0673895
2018-07-01,6.5,7.25,4.5275,2.7225,0.049417,0.0
2018-08-01,2.5,3.25,4.55,-1.3,0.010795,0.03699787
2018-08-01,3.0,3.75,4.55,-0.8,0.012006,0.04317501
2018-08-01,3.5,4.25,4.55,-0.3,0.014528,0.03927397
2018-08-01,4.0,4.75,4.55,0.2,0.020236,0.03349642
2018-08-01,4.5,5.25,4.55,0.7,0.026899,0.03701882
2018-08-01,5.0,5.75,4.55,1.2,0.033601,0.05089376
2018-08-01,5.5,6.25,4.55,1.7,0.039401,0.04872395
2018-08-01,6.0,6.75,4.55,2.2,0.044649,0.05416255
2018-08-01,6.5,7.25,4.55,2.7,0.04922,0.0
2018-09-01,2.5,3.25,4.6275,-1.3775,0.010656,0.03191627
2018-09-01,3.0,3.75,4.6275,-0.8775,0.011784,0.03984179
2018-09-01,3.5,4.25,4.6275,-0.3775,0.013989,0.03495669
2018-09-01,4.0,4.75,4.6275,0.1225,0.019226,0.02973226
2018-09-01,4.5,5.25,4.6275,0.6225,0.025886,0.03395133
2018-09-01,5.0,5.75,4.6275,1.1225,0.032593,0.04566195
2018-09-01,5.5,6.25,4.6275,1.6225,0.038546,0.03819992
2018-09-01,6.0,6.75,4.6275,2.1225,0.043883,0.04351071
2018-09-01,6.5,7.25,4.6275,2.6225,0.048534,0.0
2018-10-01,2.5,3.25,4.83,-1.58,0.010362,0.04699393
2018-10-01,3.0,3.75,4.83,-1.08,0.011265,0.03830005
2018-10-01,3.5,4.25,4.83,-0.58,0.01285,0.04008654
2018-10-01,4.0,4.75,4.83,-0.08,0.016681,0.03269344
2018-10-01,4.5,5.25,4.83,0.42,0.023198,0.03813384
2018-10-01,5.0,5.75,4.83,0.92,0.029876,0.05627645
2018-10-01,5.5,6.25,4.83,1.42,0.036249,0.04936252
2018-10-01,6.0,6.75,4.83,1.92,0.041791,0.04611597
2018-10-01,6.5,7.25,4.83,2.42,0.046722,0.0
2018-11-01,2.5,3.25,4.866,-1.616,0.010325,0.0440445
2018-11-01,3.0,3.75,4.866,-1.116,0.011181,0.04248709
2018-11-01,3.5,4.25,4.866,-0.616,0.012678,0.03727839
2018-11-01,4.0,4.75,4.866,-0.116,0.016265,0.03064302
2018-11-01,4.5,5.25,4.866,0.384,0.022718,0.03254622
2018-11-01,5.0,5.75,4.866,0.884,0.029388,0.05484654
2018-11-01,5.5,6.25,4.866,1.384,0.035832,0.04974955
2018-11-01,6.0,6.75,4.866,1.884,0.041413,0.05897691
2018-11-01,6.5,7.25,4.866,2.384,0.046387,0.0
2018-12-01,2.5,3.25,4.6375,-1.3875,0.010638,0.04914507
2018-12-01,3.0,3.75,4.6375,-0.8875,0.011757,0.11837492
2018-12-01,3.5,4.25,4.6375,-0.3875,0.013924,0.25698548
2018-12-01,4.0,4.75,4.6375,0.1125,0.019096,0.63465156
2018-12-01,4.5,5.25,4.6375,0.6125,0.025757,0.81395207
2018-12-01,5.0,5.75,4.6375,1.1125,0.032462,0.80274578
2018-12-01,5.5,6.25,4.6375,1.6125,0.038436,0.86468879
2018-12-01,6.0,6.75,4.6375,2.1125,0.043781,0.81859346
2018-12-01,6.5,7.25,4.6375,2.6125,0.048446,0.9846966
2019-01-01,2.5,3.25,4.464,-1.214,0.010965,0.0
2019-01-01,3.0,3.75,4.464,-0.714,0.012278,0.0
2019-01-01,3.5,4.25,4.464,-0.214,0.01528,0.0
2019-01-01,4.0,4.75,4.464,0.286,0.021395,0.0
2019-01-01,4.5,5.25,4.464,0.786,0.028059,0.0
2019-01-01,5.0,5.75,4.464,1.286,0.03467,0.0
2019-01-01,5.5,6.25,4.464,1.786,0.040351,0.0
2019-01-01,6.0,6.75,4.464,2.286,0.045465,0.0
2019-01-01,6.5,7.25,4.464,2.786,0.049961,0.0
2019-02-01,2.5,3.25,4.37,-1.12,0.011172,0.0
2019-02-01,3.0,3.75,4.37,-0.62,0.012659,0.0
2019-02-01,3.5,4.25,4.37,-0.12,0.01622,0.00015762
2019-02-01,4.0,4.75,4.37,0.38,0.022664,0.00047244
2019-02-01,4.5,5.25,4.37,0.88,0.029334,0.00239592
2019-02-01,5.0,5.75,4.37,1.38,0.035786,0.00399999
2019-02-01,5.5,6.25,4.37,1.88,0.04137,0.00412309
2019-02-01,6.0,6.75,4.37,2.38,0.04635,0.00243383
2019-02-01,6.5,7.25,4.37,2.88,0.050737,0.0
2019-03-01,2.5,3.25,4.265,-1.015,0.01142,0.0
2019-03-01,3.0,3.75,4.265,-0.515,0.013175,0.0
2019-03-01,3.5,4.25,4.265,-0.015,0.017473,0.00076261
2019-03-01,4.0,4.75,4.265,0.485,0.024065,0.00182067
2019-03-01,4.5,5.25,4.265,0.985,0.030758,0.00595903
2019-03-01,5.0,5.75,4.265,1.485,0.036992,0.00838784
2019-03-01,5.5,6.25,4.265,1.985,0.042466,0.01238867
2019-03-01,6.0,6.75,4.265,2.485,0.047317,0.02583742
2019-03-01,6.5,7.25,4.265,2.985,0.051555,0.0
2019-04-01,2.5,3.25,4.1425,-0.8925,0.011743,0.0
2019-04-01,3.0,3.75,4.1425,-0.3925,0.013892,0.0
2019-04-01,3.5,4.25,4.1425,0.1075,0.019032,0.00175115
2019-04-01,4.0,4.75,4.1425,0.6075,0.025692,0.00418101
2019-04-01,4.5,5.25,4.1425,1.1075,0.032397,0.0118017
2019-04-01,5.0,5.75,4.1425,1.6075,0.038381,0.01332656
2019-04-01,5.5,6.25,4.1425,2.1075,0.04373,0.02114589
2019-04-01,6.0,6.75,4.1425,2.6075,0.048402,0.0222419
2019-04-01,6.5,7.25,4.1425,3.1075,0.052427,0.21150682
2019-05-01,2.5,3.25,4.072,-0.822,0.011941,0.00298569
2019-05-01,3.0,3.75,4.072,-0.322,0.014364,0.00319863
2019-05-01,3.5,4.25,4.072,0.178,0.019944,0.00305983
2019-05-01,4.0,4.75,4.072,0.678,0.026607,0.0083448
2019-05-01,4.5,5.25,4.072,1.178,0.033315,0.0204643
2019-05-01,5.0,5.75,4.072,1.678,0.039157,0.02344848
2019-05-01,5.5,6.25,4.072,2.178,0.044436,0.03514804
2019-05-01,6.0,6.75,4.072,2.678,0.049025,0.03963297
2019-05-01,6.5,7.25,4.072,3.178,0.052894,0.0
2019-06-01,2.5,3.25,3.8025,-0.5525,0.012986,0.0
2019-06-01,3.0,3.75,3.8025,-0.0525,0.017011,0.00492129
2019-06-01,3.5,4.25,3.8025,0.4475,0.023563,0.00701667
2019-06-01,4.0,4.75,3.8025,0.9475,0.030249,0.0124242
2019-06-01,4.5,5.25,3.8025,1.4475,0.036565,0.02729374
2019-06-01,5.0,5.75,3.8025,1.9475,0.042079,0.03194274
2019-06-01,5.5,6.25,3.8025,2.4475,0.046975,0.04676347
2019-06-01,6.0,6.75,3.8025,2.9475,0.051266,0.09052899
2019-06-01,6.5,7.25,3.8025,3.4475,0.054558,0.38729024
2019-07-01,2.5,3.25,3.765,-0.515,0.013175,0.00432718
2019-07-01,3.0,3.75,3.765,-0.015,0.017473,0.01205168
2019-07-01,3.5,4.25,3.765,0.485,0.024065,0.01443452
2019-07-01,4.0,4.75,3.765,0.985,0.030758,0.02790498
2019-07-01,4.5,5.25,3.765,1.485,0.036992,0.06007834
2019-07-01,5.0,5.75,3.765,1.985,0.042466,0.05858236
2019-07-01,5.5,6.25,3.765,2.485,0.047317,0.0716791
2019-07-01,6.0,6.75,3.765,2.985,0.051555,0.07587744
2019-07-01,6.5,7.25,3.765,3.485,0.05477,0.0
2019-08-01,2.5,3.25,3.616,-0.366,0.014064,0.00514707
2019-08-01,3.0,3.75,3.616,0.134,0.019376,0.01771703
2019-08-01,3.5,4.25,3.616,0.634,0.026034,0.01971032
2019-08-01,4.0,4.75,3.616,1.134,0.032744,0.03979741
2019-08-01,4.5,5.25,3.616,1.634,0.038672,0.06917354
2019-08-01,5.0,5.75,3.616,2.134,0.044,0.06569882
2019-08-01,5.5,6.25,3.616,2.634,0.048636,0.07527227
