coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr
1.5,1.0,12022,23,0,0.0,0.0
1.5,1.0,12023,22,0,0.0,0.0
1.5,1.0,12024,22,0,0.0,0.0
1.5,1.0,12025,21,0,0.0,0.0
1.5,1.0,22022,23,0,0.0,0.0
1.5,1.0,22023,22,0,0.0,0.0
1.5,1.0,22024,22,0,0.0,0.0
1.5,1.0,22025,21,0,0.0,0.0
1.5,1.0,32021,4,0,0.0,0.0
1.5,1.0,32022,23,0,0.0,0.0
1.5,1.0,32023,22,0,0.0,0.0
1.5,1.0,32024,22,0,0.0,0.0
1.5,1.0,32025,21,0,0.0,0.0
1.5,1.0,42021,4,0,0.0,0.0
1.5,1.0,42022,22,0,0.0,0.0
1.5,1.0,42023,22,0,0.0,0.0
1.5,1.0,42024,22,0,0.0,0.0
1.5,1.0,42025,21,0,0.0,0.0
1.5,1.0,52021,5,0,0.0,0.0
1.5,1.0,52022,22,0,0.0,0.0
1.5,1.0,52023,22,0,0.0,0.0
1.5,1.0,52024,22,0,0.0,0.0
1.5,1.0,52025,21,0,0.0,0.0
1.5,1.0,62021,5,0,0.0,0.0
1.5,1.0,62022,22,0,0.0,0.0
1.5,1.0,62023,22,0,0.0,0.0
1.5,1.0,62024,22,0,0.0,0.0
1.5,1.0,62025,21,0,0.0,0.0
1.5,1.0,72021,5,0,0.0,0.0
1.5,1.0,72022,22,0,0.0,0.0
1.5,1.0,72023,22,0,0.0,0.0
1.5,1.0,72024,21,0,0.0,0.0
1.5,1.0,72025,21,0,0.0,0.0
1.5,1.0,82021,9,0,0.0,0.0
1.5,1.0,82022,22,0,0.0,0.0
1.5,1.0,82023,22,0,0.0,0.0
1.5,1.0,82024,21,0,0.0,0.0
1.5,1.0,82025,21,0,0.0,0.0
1.5,1.0,92021,18,0,0.0,0.0
1.5,1.0,92022,22,0,0.0,0.0
1.5,1.0,92023,22,0,0.0,0.0
1.5,1.0,92024,21,0,0.0,0.0
1.5,1.0,92025,21,0,0.0,0.0
1.5,1.0,102021,19,0,0.0,0.0
1.5,1.0,102022,22,0,0.0,0.0
1.5,1.0,102023,22,0,0.0,0.0
1.5,1.0,102024,21,0,0.0,0.0
1.5,1.0,112021,21,0,0.0,0.0
1.5,1.0,112022,22,0,0.0,0.0
1.5,1.0,112023,22,0,0.0,0.0
1.5,1.0,112024,21,0,0.0,0.0
1.5,1.0,122021,23,0,0.0,0.0
1.5,1.0,122022,22,0,0.0,0.0
1.5,1.0,122023,22,0,0.0,0.0
1.5,1.0,122024,21,0,0.0,0.0
2.0,1.5,12020,3,0,0.0,0.0
2.0,1.5,12021,135843,2,1.4722878617227241e-05,0.0001766602377409887
2.0,1.5,12022,477739,113,0.00023653082540885296,0.002834680323780314
2.0,1.5,12023,458574,411,0.0008962566565047299,0.010702221730609196
2.0,1.5,12024,444024,608,0.0013692953534043205,0.01630835932522512
2.0,1.5,12025,427767,770,0.0018000453517919802,0.021387971400865458
2.0,1.5,22020,3,0,0.0,0.0
2.0,1.5,22021,175707,2,1.13825857820121e-05,0.00013658247853376437
2.0,1.5,22022,476041,145,0.00030459561256278344,0.0036490301835224725
2.0,1.5,22023,457730,435,0.0009503419046162585,0.011344683395921984
2.0,1.5,22024,443053,624,0.0014084093776591063,0.01677060649208595
2.0,1.5,22025,426628,790,0.001851730313059621,0.021995847083635445
2.0,1.5,32020,3,0,0.0,0.0
2.0,1.5,32021,230848,7,3.0322983088439145e-05,0.00036381511729710603
