coupon,forecast_cpr,realized_cpr,n_loans,n_prepaid,cutoff_year,forecast_year
1.0,1.1368,0.0,254,0,2020,2021
1.5,2.2626,0.0754,7956,6,2020,2021
2.0,8.5319,0.2966,229237,680,2020,2021
2.5,19.0361,0.5327,387090,2062,2020,2021
3.0,36.3996,1.8803,708067,13314,2020,2021
3.5,44.1096,3.7179,391189,14544,2020,2021
4.0,45.429,5.2766,412276,21754,2020,2021
4.5,68.7705,7.1739,105954,7601,2020,2021
5.0,86.9061,8.9363,54967,4912,2020,2021
5.5,98.2422,10.2835,7089,729,2020,2021
6.0,99.8034,14.5847,1577,230,2020,2021
6.5,99.9997,0.0,1,0,2020,2021
