date,market_type,pmms,lambda_x,lambda_y,r2,n_coupons,n_premium,n_discount
2018-02-28,DM,4.33,-0.00010002,-0.093397,0.582,9,5,4
2018-03-30,DM,4.444,8.7e-05,0.020534,-0.58,9,5,4
2018-04-30,DM,4.4675,0.00024675,-0.150466,-0.6457,9,5,4
2018-05-31,DM,4.586,0.00012924,0.090997,0.3509,9,4,5
2018-06-29,DM,4.57,-8.493e-05,0.005585,0.0421,9,4,5
2018-07-31,DM,4.5275,0.00027839,-0.032764,-2.6621,9,4,5
2018-08-31,DM,4.55,-0.00033289,0.066767,-2.0213,9,4,5
2018-09-28,DM,4.6275,0.00021928,-0.173413,-0.0156,9,4,5
2018-10-31,DM,4.83,-0.00066048,0.017017,0.624,9,4,5
2018-11-30,DM,4.866,-9.127e-05,0.114939,-0.1504,9,4,5
2018-12-31,DM,4.6375,1.617e-05,0.254749,0.0011,9,4,5
2019-01-31,DM,4.464,0.00058657,-0.025921,0.6226,9,5,4
2019-02-28,DM,4.37,-5.187e-05,-0.061759,0.6592,9,5,4
2019-03-29,DM,4.265,0.00050569,0.097039,0.4762,9,5,4
2019-04-30,DM,4.1425,-0.00064919,-0.03723,0.7833,9,5,4
2019-05-31,DM,4.072,-0.00013365,0.138933,-1.4785,9,5,4
2019-06-28,DM,3.8025,-0.00011809,0.02907,-1.0887,9,6,3
2019-07-31,DM,3.765,-0.00017513,-0.041294,-0.3582,9,6,3
2019-08-30,DM,3.616,-0.00104352,0.153616,-10.4098,9,6,3
2019-09-30,DM,3.605,-2.913e-05,-0.077434,-1.0799,9,6,3
2019-10-31,DM,3.688,6.568e-05,-0.012635,0.0135,9,6,3
2019-11-29,DM,3.695,0.00021279,-0.048369,-5.4593,9,6,3
2019-12-31,DM,3.72,0.00054756,-0.055231,-6.5103,9,6,3
2020-01-31,DM,3.624,-0.0006028,0.126487,-5.3005,9,6,3
2020-02-28,PM,3.465,-0.00100569,0.08233,-18.6519,9,7,2
2020-03-31,PM,3.45,-0.00087776,0.14551,-1.7062,9,7,2
2020-04-30,PM,3.306,0.0003675,-0.018194,-0.4199,9,7,2
2020-05-29,PM,3.2325,-0.0005649,-0.002878,0.7867,9,7,2
2020-06-30,PM,3.1625,0.00126294,-0.055209,0.7857,9,7,2
2020-07-31,PM,3.016,0.00049714,-0.008503,0.7677,9,7,2
2020-08-31,PM,2.935,-0.00100946,-0.012937,-3.8039,9,8,1
2020-09-30,PM,2.89,-0.00036589,0.000954,0.5517,9,8,1
2020-10-30,PM,2.834,-0.00177583,0.01206,-0.9804,9,8,1
2020-11-30,PM,2.765,0.00013285,-0.014855,0.0532,9,8,1
2020-12-31,PM,2.684,-0.00056774,-0.000584,-7.2236,9,8,1
2021-01-29,PM,2.735,-0.00121571,0.00092,-1.1379,9,8,1
2021-02-26,PM,2.81,-0.00329922,0.029102,-0.6359,9,8,1
2021-03-31,PM,3.0825,-0.00107032,-0.040146,-1.7866,9,7,2
2021-04-30,PM,3.06,0.00081239,-0.013809,0.7185,9,7,2
2021-05-31,PM,2.9625,0.00109746,-0.021299,-0.7049,9,8,1
2021-06-30,PM,2.975,0.00031773,-0.009095,-0.3245,9,8,1
2021-07-30,PM,2.868,0.00070606,0.012577,-0.5657,9,8,1
2021-08-31,PM,2.8425,-0.00119769,0.008513,-0.2478,9,8,1
2021-09-30,PM,2.9,-0.00164755,0.003174,-4.5091,9,8,1
2021-10-29,PM,3.0675,-0.00063277,-0.01453,-6.9378,9,7,2
2021-11-30,PM,3.0675,1.904e-05,0.030162,-3.9385,9,7,2
2021-12-31,PM,3.098,-0.00124115,0.062343,0.4629,9,7,2
2022-01-31,PM,3.445,-0.0004713,-0.085113,0.4004,9,7,2
2022-02-28,DM,3.7625,-0.00028829,-0.062168,0.6748,9,6,3
2022-03-31,DM,4.172,0.00079308,-0.279,-0.4293,9,5,4
2022-04-29,DM,4.9825,-0.00032225,-0.393801,0.0649,9,4,5
2022-05-31,DM,5.23,0.0003905,0.032087,0.4293,9,3,6
2022-06-30,DM,5.522,-0.0006613,-0.705856,0.8355,9,2,7
2022-07-29,DM,5.4125,0.0007333,0.708042,0.4189,9,3,6
2022-08-31,DM,5.2225,-3.339e-05,-0.702147,-0.1215,9,3,6
2022-09-30,DM,6.112,-0.00083197,-3.080745,0.2656,9,1,8
2022-10-31,DM,6.9,-0.00050052,5.418959,0.7274,9,0,9
2022-11-30,DM,6.805,0.0009809,-12.598704,0.8554,9,0,9
2022-12-30,DM,6.364,0.00030964,0.203979,-2.7104,9,1,8
2023-01-31,DM,6.2725,0.00051423,0.607031,0.3053,9,1,8
2023-02-28,DM,6.2575,0.00013148,-2.037483,-0.8966,9,1,8
2023-03-31,DM,6.544,-0.0012277,-12.86653,-6.4817,9,0,9
2023-04-28,DM,6.3425,-0.00017403,-0.527116,-2.385,9,1,8
2023-05-31,DM,6.425,0.00018306,2.110963,-1.7157,9,1,8
2023-06-30,DM,6.714,0.00097667,11.515766,-10.5192,9,0,9
2023-07-31,DM,6.84,-2.723e-05,2.276338,0.0973,9,0,9
2023-08-31,DM,7.072,-0.00042744,3.967442,0.6951,9,0,9
2023-09-29,DM,7.2,-0.0008467,34.989734,0.7659,9,0,9
2023-10-31,DM,7.62,-0.00085562,,0.6813,9,0,9
2023-11-30,DM,7.442,0.00115403,,0.6662,9,0,9
2023-12-29,DM,6.815,0.00114776,-9.061423,0.7414,9,0,9
2024-01-31,DM,6.6425,-0.00034863,1.862397,0.789,9,0,9
2024-02-29,DM,6.776,-0.000119,9.021284,0.353,9,0,9
2024-03-29,DM,6.82,0.00034529,1.496745,-18.7518,9,0,9
2024-04-30,DM,6.9925,-0.00051056,10.358365,0.6222,9,0,9
2024-05-31,DM,7.06,0.00030628,-1.09701,0.724,9,0,9
2024-06-28,DM,6.9175,2.173e-05,-2.771431,-0.1693,9,0,9
2024-07-31,DM,6.8475,-4.807e-05,-7.777383,0.2675,9,0,9
2024-08-30,DM,6.5,0.00027347,-2.260996,0.6206,9,0,9
2024-09-30,DM,6.18,0.00016762,0.53071,0.3455,9,1,8
2024-10-31,DM,6.428,-0.00020002,4.072035,-0.191,9,1,8
2024-11-29,DM,6.805,0.00037667,-1.000881,0.1414,9,0,9
2024-12-31,DM,6.715,-0.00015059,13.807202,0.5453,9,0,9
2025-01-31,DM,6.958,-0.00015103,1.619418,0.8879,9,0,9
2025-02-28,DM,6.8425,0.00015757,-6.693073,0.4857,9,0,9
2025-03-31,DM,6.65,-0.00051029,0.019427,0.285,9,0,9
2025-04-30,DM,6.725,-0.00077684,-4.715521,-20.5256,9,0,9
2025-05-30,DM,6.816,-0.0001213,6.724767,0.2721,9,0,9
2025-06-30,DM,6.8175,0.00047892,-1.697399,0.8406,9,0,9
2025-07-31,DM,6.72,-0.00014572,6.695954,0.5212,9,0,9
2025-08-29,DM,6.5875,-8.9e-07,-3.408594,0.5721,9,0,9
2025-09-30,DM,6.3525,0.00084486,0.238682,0.7885,9,1,8
2025-10-31,DM,6.254,0.00030494,-0.178087,0.6464,9,1,8
2025-11-28,DM,6.2375,-0.00021699,0.289311,0.3934,9,1,8
2025-12-31,DM,6.19,0.00043061,-1.214024,-3.5379,9,1,8
2026-01-30,DM,6.1025,0.00060564,-0.15506,-1.8738,9,1,8
2026-02-27,DM,6.0475,-0.00013321,0.885667,-0.9857,9,1,8
2026-03-31,DM,6.1775,-0.00012845,-2.096853,-0.2,9,1,8
2026-04-30,DM,6.1775,0.00018046,-0.79003,-1.6447,9,1,8
2026-05-29,DM,6.1775,0.00020015,-0.867876,-1.9239,9,1,8
